invoice_id,transaction_id,supplier_id,buyer_id,carrier,has_shipment,invoice_amount,transaction_amount,amount_deviation_ratio,amount_to_supplier_avg_ratio,time_invoice_to_payment_hours,time_shipment_to_payment_hours,supplier_fraud_history,buyer_fraud_history,supplier_tx_volume,buyer_tx_volume,is_round_amount,tx_hour,is_weekend,is_night_tx,fraud_type,is_fraud
INV-SYN-10040,TXN-SYN-10040,SUPP-IND-05,BUYER-QUICK-04,None,0,300712.53,300712.53,0.0,1.8795,3.51,-1.0,1,5,6,2,0,19,0,0,RAPID_GHOST_SETTLEMENT,1
INV-SYN-10041,TXN-SYN-10041,SUPP-PREC-04,BUYER-OMEGA-01,DB Schenker,1,99070.0,97267.25,-0.0182,1.0239,470.08,402.77,0,0,6,13,0,20,1,0,NORMAL,0
INV-SYN-10042,TXN-SYN-10042,SUPP-PREC-04,BUYER-OMEGA-01,Maersk Ocean Freight,1,92253.35,92235.93,-0.0002,0.9709,897.99,758.57,0,0,7,14,0,17,1,0,NORMAL,0
INV-SYN-10043,TXN-SYN-10043,SUPP-PHANTOM-07,BUYER-QUICK-04,DB Schenker,1,416125.83,994313.06,1.3895,2.2096,405.89,311.36,8,5,1,3,0,20,1,0,AMOUNT_INFLATION,1
INV-SYN-10044,TXN-SYN-10044,SUPP-NEXUS-02,BUYER-VORTEX-02,DHL Global Express,1,53581.41,53245.97,-0.0063,0.6264,444.36,263.85,0,0,7,11,0,4,0,1,NORMAL,0
INV-SYN-10045,TXN-SYN-10045,SUPP-IND-05,BUYER-GLOBAL-05,Maersk Ocean Freight,1,131206.23,130130.6,-0.0082,0.8133,711.08,650.59,1,0,7,7,0,2,0,1,NORMAL,0
INV-SYN-10046,TXN-SYN-10046,SUPP-TITAN-03,BUYER-GLOBAL-05,DHL Global Express,1,247755.29,250071.14,0.0093,0.8931,729.67,615.48,1,0,13,8,0,6,1,0,NORMAL,0
INV-SYN-10047,TXN-SYN-10047,SUPP-PREC-04,BUYER-OMEGA-01,Maersk Ocean Freight,1,120106.65,121124.37,0.0085,1.275,849.5,778.31,0,0,8,15,0,13,0,0,NORMAL,0
INV-SYN-10048,TXN-SYN-10048,SUPP-PACIFIC-08,BUYER-VORTEX-02,DB Schenker,1,81442.84,80747.82,-0.0085,1.0766,949.48,763.62,0,0,8,12,0,7,1,0,NORMAL,0
INV-SYN-10049,TXN-SYN-10049,SUPP-PACIFIC-08,BUYER-VORTEX-02,Maersk Ocean Freight,1,41943.0,41825.01,-0.0028,0.5577,888.37,785.84,0,0,9,13,0,17,1,0,NORMAL,0
INV-SYN-10050,TXN-SYN-10050,SUPP-TITAN-03,BUYER-APEX-06,DB Schenker,1,302685.88,298509.64,-0.0138,1.0661,708.05,650.43,1,0,14,10,0,15,0,0,NORMAL,0
INV-SYN-10051,TXN-SYN-10051,SUPP-NEXUS-02,BUYER-VORTEX-02,FedEx International,1,76817.0,76905.65,0.0012,0.9048,615.75,498.04,0,0,8,14,0,20,1,0,NORMAL,0
INV-SYN-10052,TXN-SYN-10052,SUPP-NEXUS-02,BUYER-VORTEX-02,DHL Global Express,1,70615.41,70383.81,-0.0033,0.828,534.46,350.48,0,0,9,15,0,1,0,1,NORMAL,0
INV-SYN-10053,TXN-SYN-10053,SUPP-TITAN-03,BUYER-STEEL-03,Maersk Ocean Freight,1,701429.57,806644.01,0.15,2.8809,228.87,162.34,1,1,15,3,0,3,0,1,SERIAL_COUNTERPARTY_SPIKE,1
INV-SYN-10054,TXN-SYN-10054,SUPP-PACIFIC-08,BUYER-GLOBAL-05,DHL Global Express,1,94331.24,92976.46,-0.0144,1.2397,753.99,697.47,0,0,10,9,0,19,0,0,NORMAL,0
INV-SYN-10055,TXN-SYN-10055,SUPP-IND-05,BUYER-GLOBAL-05,FedEx International,1,197251.2,196929.85,-0.0016,1.2308,781.46,652.43,1,0,8,10,0,22,0,0,NORMAL,0
INV-SYN-10056,TXN-SYN-10056,SUPP-TITAN-03,BUYER-OMEGA-01,DB Schenker,1,221254.77,219993.19,-0.0057,0.7857,635.62,521.26,1,0,16,16,0,9,0,0,NORMAL,0
INV-SYN-10057,TXN-SYN-10057,SUPP-PACIFIC-08,BUYER-GLOBAL-05,FedEx International,1,69202.27,68622.62,-0.0084,0.915,465.88,355.96,0,0,11,11,0,2,0,1,NORMAL,0
INV-SYN-10058,TXN-SYN-10058,SUPP-TITAN-03,BUYER-QUICK-04,None,0,494331.66,494331.66,0.0,1.7655,0.8,-1.0,1,5,17,4,0,13,0,0,RAPID_GHOST_SETTLEMENT,1
INV-SYN-10059,TXN-SYN-10059,SUPP-PREC-04,BUYER-APEX-06,Kuehne+Nagel Logistics,1,118169.2,118878.6,0.006,1.2514,657.38,482.92,0,0,9,11,0,4,0,1,NORMAL,0
INV-SYN-10060,TXN-SYN-10060,SUPP-GLOBAL-01,BUYER-APEX-06,DB Schenker,1,105624.77,104761.24,-0.0082,0.873,778.79,596.28,0,0,5,12,0,16,0,0,NORMAL,0
INV-SYN-10061,TXN-SYN-10061,SUPP-IND-05,BUYER-OMEGA-01,DHL Global Express,1,152573.64,151589.28,-0.0065,0.9474,931.68,766.67,1,0,9,17,0,7,0,0,NORMAL,0
INV-SYN-10062,TXN-SYN-10062,SUPP-NEXUS-02,BUYER-APEX-06,DHL Global Express,1,61490.38,60332.98,-0.0188,0.7098,450.34,353.91,0,0,10,13,0,8,1,0,NORMAL,0
INV-SYN-10063,TXN-SYN-10063,SUPP-PREC-04,BUYER-APEX-06,FedEx International,1,66590.09,66803.86,0.0032,0.7032,574.08,493.48,0,0,10,14,0,19,1,0,NORMAL,0
INV-SYN-10064,TXN-SYN-10064,SUPP-IND-05,BUYER-OMEGA-01,Kuehne+Nagel Logistics,1,192501.03,193869.76,0.0071,1.2117,402.58,294.26,1,0,10,18,0,16,1,0,NORMAL,0
INV-SYN-10065,TXN-SYN-10065,SUPP-IND-05,BUYER-OMEGA-01,DB Schenker,1,214249.6,213727.57,-0.0024,1.3358,496.7,321.18,1,0,11,19,0,2,0,1,NORMAL,0
INV-SYN-10066,TXN-SYN-10066,SUPP-PREC-04,BUYER-GLOBAL-05,FedEx International,1,93289.76,91924.59,-0.0146,0.9676,897.62,769.53,0,0,11,12,0,5,0,1,NORMAL,0
INV-SYN-10067,TXN-SYN-10067,SUPP-GLOBAL-01,BUYER-GLOBAL-05,FedEx International,1,150105.99,150024.53,-0.0005,1.2502,818.01,671.02,0,0,6,13,0,10,0,0,NORMAL,0
INV-SYN-10068,TXN-SYN-10068,SUPP-TITAN-03,BUYER-APEX-06,DB Schenker,1,613319.38,705317.29,0.15,2.519,98.86,16.1,1,0,18,15,0,10,1,0,SERIAL_COUNTERPARTY_SPIKE,1
INV-SYN-10069,TXN-SYN-10069,SUPP-IND-05,BUYER-APEX-06,FedEx International,1,134195.21,132199.26,-0.0149,0.8262,425.56,337.27,1,0,12,16,0,18,0,0,NORMAL,0
INV-SYN-10070,TXN-SYN-10070,SUPP-TITAN-03,BUYER-QUICK-04,FedEx International,1,519661.36,597610.56,0.15,2.1343,94.1,58.82,1,5,19,5,0,13,0,0,SERIAL_COUNTERPARTY_SPIKE,1
INV-SYN-10071,TXN-SYN-10071,SUPP-NEXUS-02,BUYER-OMEGA-01,Kuehne+Nagel Logistics,1,117683.28,116223.22,-0.0124,1.3673,673.65,566.1,0,0,11,20,0,14,0,0,NORMAL,0
INV-SYN-10072,TXN-SYN-10072,SUPP-GLOBAL-01,BUYER-APEX-06,Kuehne+Nagel Logistics,1,118925.22,118647.63,-0.0023,0.9887,615.34,505.13,0,0,7,17,0,10,0,0,NORMAL,0
INV-SYN-10073,TXN-SYN-10073,SUPP-TITAN-03,BUYER-QUICK-04,None,0,441816.13,441816.13,0.0,1.5779,1.17,-1.0,1,5,20,6,0,1,0,1,RAPID_GHOST_SETTLEMENT,1
INV-SYN-10074,TXN-SYN-10074,SUPP-PACIFIC-08,BUYER-GLOBAL-05,DB Schenker,1,25879.78,26025.09,0.0056,0.347,559.12,419.06,0,0,12,14,0,11,0,0,NORMAL,0
INV-SYN-10075,TXN-SYN-10075,SUPP-GLOBAL-01,BUYER-OMEGA-01,Maersk Ocean Freight,1,144657.08,146076.46,0.0098,1.2173,667.82,606.65,0,0,8,21,0,23,0,1,NORMAL,0
INV-SYN-10076,TXN-SYN-10076,SUPP-PACIFIC-08,BUYER-VORTEX-02,DHL Global Express,1,76632.13,76822.18,0.0025,1.0243,388.07,295.88,0,0,13,16,0,7,0,0,NORMAL,0
INV-SYN-10077,TXN-SYN-10077,SUPP-TITAN-03,BUYER-GLOBAL-05,Kuehne+Nagel Logistics,1,259069.49,256833.25,-0.0086,0.9173,792.54,745.99,1,0,21,15,0,9,0,0,NORMAL,0
INV-SYN-10078,TXN-SYN-10078,SUPP-GLOBAL-01,BUYER-GLOBAL-05,Maersk Ocean Freight,1,122752.82,120747.12,-0.0163,1.0062,726.3,556.23,0,0,9,16,0,20,1,0,NORMAL,0
INV-SYN-10079,TXN-SYN-10079,SUPP-IND-05,BUYER-VORTEX-02,DB Schenker,1,80497.24,80365.35,-0.0016,0.5023,885.36,832.31,1,0,13,17,0,23,0,1,NORMAL,0
INV-SYN-10080,TXN-SYN-10080,SUPP-PREC-04,BUYER-GLOBAL-05,DB Schenker,1,89782.79,90270.66,0.0054,0.9502,913.52,837.01,0,0,12,17,0,0,1,1,NORMAL,0
INV-SYN-10081,TXN-SYN-10081,SUPP-TITAN-03,BUYER-VORTEX-02,Kuehne+Nagel Logistics,1,304997.88,303439.92,-0.0051,1.0837,685.26,535.5,1,0,22,18,0,14,1,0,NORMAL,0
INV-SYN-10082,TXN-SYN-10082,SUPP-NEXUS-02,BUYER-VORTEX-02,DHL Global Express,1,116405.25,117496.87,0.0094,1.3823,555.18,518.93,0,0,12,19,0,2,0,1,NORMAL,0
INV-SYN-10083,TXN-SYN-10083,SUPP-GLOBAL-01,BUYER-VORTEX-02,Maersk Ocean Freight,1,104451.89,105493.23,0.01,0.8791,550.38,449.79,0,0,10,20,0,0,0,1,NORMAL,0
INV-SYN-10084,TXN-SYN-10084,SUPP-PREC-04,BUYER-STEEL-03,Unregistered Logistics,1,100000.0,100000.0,0.0,1.0526,75.71,45.47,0,1,13,4,1,2,0,1,OFF_HOURS_ROUND_SUM,1
INV-SYN-10085,TXN-SYN-10085,SUPP-GLOBAL-01,BUYER-GLOBAL-05,DHL Global Express,1,104947.29,105129.05,0.0017,0.8761,871.32,739.23,0,0,11,18,0,23,1,1,NORMAL,0
INV-SYN-10086,TXN-SYN-10086,SUPP-SUSP-06,BUYER-QUICK-04,Kuehne+Nagel Logistics,1,479251.71,1002834.23,1.0925,2.5714,535.36,441.14,6,5,2,7,0,8,0,0,AMOUNT_INFLATION,1
INV-SYN-10087,TXN-SYN-10087,SUPP-IND-05,BUYER-GLOBAL-05,DHL Global Express,1,173150.04,173916.23,0.0044,1.087,921.8,741.06,1,0,14,19,0,11,0,0,NORMAL,0
INV-SYN-10088,TXN-SYN-10088,SUPP-TITAN-03,BUYER-GLOBAL-05,Maersk Ocean Freight,1,242916.79,238194.86,-0.0194,0.8507,845.8,719.72,1,0,23,20,0,8,0,0,NORMAL,0
INV-SYN-10089,TXN-SYN-10089,SUPP-TITAN-03,BUYER-OMEGA-01,Kuehne+Nagel Logistics,1,315928.72,312268.31,-0.0116,1.1152,656.77,615.91,1,0,24,22,0,6,0,0,NORMAL,0
INV-SYN-10090,TXN-SYN-10090,SUPP-NEXUS-02,BUYER-APEX-06,Maersk Ocean Freight,1,87062.9,85626.83,-0.0165,1.0074,821.21,663.16,0,0,13,18,0,17,0,0,NORMAL,0
INV-SYN-10091,TXN-SYN-10091,SUPP-TITAN-03,BUYER-OMEGA-01,Maersk Ocean Freight,1,347805.15,341754.71,-0.0174,1.2206,683.96,511.14,1,0,25,23,0,10,0,0,NORMAL,0
INV-SYN-10092,TXN-SYN-10092,SUPP-TITAN-03,BUYER-VORTEX-02,DHL Global Express,1,230856.28,227451.24,-0.0147,0.8123,801.05,706.67,1,0,26,21,0,6,0,0,NORMAL,0
INV-SYN-10093,TXN-SYN-10093,SUPP-GLOBAL-01,BUYER-APEX-06,FedEx International,1,110170.14,110607.6,0.004,0.9217,531.3,354.13,0,0,12,19,0,16,0,0,NORMAL,0
INV-SYN-10094,TXN-SYN-10094,SUPP-PREC-04,BUYER-GLOBAL-05,DB Schenker,1,85687.43,84342.04,-0.0157,0.8878,818.03,646.03,0,0,14,21,0,4,0,1,NORMAL,0
INV-SYN-10095,TXN-SYN-10095,SUPP-NEXUS-02,BUYER-VORTEX-02,DB Schenker,1,53900.31,53565.11,-0.0062,0.6302,456.84,309.5,0,0,14,22,0,15,1,0,NORMAL,0
INV-SYN-10096,TXN-SYN-10096,SUPP-TITAN-03,BUYER-OMEGA-01,Kuehne+Nagel Logistics,1,300728.42,300075.43,-0.0022,1.0717,823.1,773.51,1,0,27,24,0,15,0,0,NORMAL,0
INV-SYN-10097,TXN-SYN-10097,SUPP-GLOBAL-01,BUYER-GLOBAL-05,FedEx International,1,127831.66,128183.81,0.0028,1.0682,568.19,432.53,0,0,13,22,0,3,0,1,NORMAL,0
INV-SYN-10098,TXN-SYN-10098,SUPP-SUSP-06,BUYER-QUICK-04,None,0,250000.0,250000.0,0.0,0.641,31.52,15.4,6,5,3,8,1,1,0,1,OFF_HOURS_ROUND_SUM,1
INV-SYN-10099,TXN-SYN-10099,SUPP-TITAN-03,BUYER-GLOBAL-05,DB Schenker,1,263578.9,265766.17,0.0083,0.9492,548.32,386.9,1,0,28,23,0,13,0,0,NORMAL,0
INV-SYN-10100,TXN-SYN-10100,SUPP-GLOBAL-01,BUYER-GLOBAL-05,FedEx International,1,77538.88,76776.07,-0.0098,0.6398,362.6,257.4,0,0,14,24,0,14,1,0,NORMAL,0
INV-SYN-10101,TXN-SYN-10101,SUPP-PACIFIC-08,BUYER-OMEGA-01,FedEx International,1,67112.9,65878.96,-0.0184,0.8784,765.34,662.81,0,0,14,25,0,10,0,0,NORMAL,0
INV-SYN-10102,TXN-SYN-10102,SUPP-IND-05,BUYER-APEX-06,DB Schenker,1,146291.42,144736.81,-0.0106,0.9046,450.65,287.13,1,0,15,20,0,22,0,0,NORMAL,0
INV-SYN-10103,TXN-SYN-10103,SUPP-PREC-04,BUYER-VORTEX-02,DHL Global Express,1,75945.91,76255.05,0.0041,0.8027,658.33,513.35,0,0,15,23,0,22,0,0,NORMAL,0
INV-SYN-10104,TXN-SYN-10104,SUPP-PACIFIC-08,BUYER-APEX-06,DB Schenker,1,71975.89,72582.18,0.0084,0.9678,453.25,394.83,0,0,15,21,0,7,0,0,NORMAL,0
INV-SYN-10105,TXN-SYN-10105,SUPP-TITAN-03,BUYER-APEX-06,Maersk Ocean Freight,1,308283.56,310601.22,0.0075,1.1093,599.5,511.97,1,0,29,22,0,7,0,0,NORMAL,0
INV-SYN-10106,TXN-SYN-10106,SUPP-GLOBAL-01,BUYER-OMEGA-01,FedEx International,1,176585.58,174915.65,-0.0095,1.4576,517.31,409.35,0,0,15,26,0,13,0,0,NORMAL,0
INV-SYN-10107,TXN-SYN-10107,SUPP-TITAN-03,BUYER-VORTEX-02,DHL Global Express,1,292220.45,289932.53,-0.0078,1.0355,582.95,435.52,1,0,30,24,0,21,1,0,NORMAL,0
INV-SYN-10108,TXN-SYN-10108,SUPP-PACIFIC-08,BUYER-OMEGA-01,Kuehne+Nagel Logistics,1,79829.07,79508.35,-0.004,1.0601,481.67,383.15,0,0,16,27,0,7,0,0,NORMAL,0
INV-SYN-10109,TXN-SYN-10109,SUPP-NEXUS-02,BUYER-VORTEX-02,DB Schenker,1,83418.02,82710.18,-0.0085,0.9731,587.84,498.69,0,0,15,25,0,17,1,0,NORMAL,0
INV-SYN-10110,TXN-SYN-10110,SUPP-PREC-04,BUYER-GLOBAL-05,DHL Global Express,1,49429.18,48790.78,-0.0129,0.5136,822.99,683.62,0,0,16,25,0,16,0,0,NORMAL,0
INV-SYN-10111,TXN-SYN-10111,SUPP-PHANTOM-07,BUYER-QUICK-04,Kuehne+Nagel Logistics,1,447017.19,1026050.41,1.2953,2.2801,209.97,145.06,8,5,2,9,0,18,0,0,AMOUNT_INFLATION,1
INV-SYN-10112,TXN-SYN-10112,SUPP-PHANTOM-07,BUYER-STEEL-03,None,0,786149.27,786149.27,0.0,1.747,4.56,-1.0,8,1,3,5,0,9,0,0,RAPID_GHOST_SETTLEMENT,1
INV-SYN-10113,TXN-SYN-10113,SUPP-PACIFIC-08,BUYER-OMEGA-01,Maersk Ocean Freight,1,121185.79,121164.76,-0.0002,1.6155,580.65,473.99,0,0,17,28,0,8,0,0,NORMAL,0
INV-SYN-10114,TXN-SYN-10114,SUPP-IND-05,BUYER-APEX-06,DB Schenker,1,152305.56,152373.41,0.0004,0.9523,802.0,716.61,1,0,16,23,0,9,0,0,NORMAL,0
INV-SYN-10115,TXN-SYN-10115,SUPP-PACIFIC-08,BUYER-GLOBAL-05,Maersk Ocean Freight,1,80654.01,81307.33,0.0081,1.0841,982.15,834.17,0,0,18,26,0,5,0,1,NORMAL,0
INV-SYN-10116,TXN-SYN-10116,SUPP-IND-05,BUYER-OMEGA-01,Maersk Ocean Freight,1,158611.53,157868.07,-0.0047,0.9867,445.68,277.45,1,0,17,29,0,2,0,1,NORMAL,0
INV-SYN-10117,TXN-SYN-10117,SUPP-IND-05,BUYER-OMEGA-01,DHL Global Express,1,113252.88,112890.57,-0.0032,0.7056,945.43,756.75,1,0,18,30,0,4,0,1,NORMAL,0
INV-SYN-10118,TXN-SYN-10118,SUPP-GLOBAL-01,BUYER-VORTEX-02,Kuehne+Nagel Logistics,1,154284.68,153930.58,-0.0023,1.2828,617.15,483.62,0,0,16,26,0,4,0,1,NORMAL,0
INV-SYN-10119,TXN-SYN-10119,SUPP-PREC-04,BUYER-VORTEX-02,Kuehne+Nagel Logistics,1,112858.41,112209.04,-0.0058,1.1811,811.36,746.0,0,0,17,27,0,21,0,0,NORMAL,0
INV-SYN-10120,TXN-SYN-10120,SUPP-TITAN-03,BUYER-APEX-06,FedEx International,1,335372.24,338700.37,0.0099,1.2096,387.49,246.96,1,0,31,24,0,18,0,0,NORMAL,0
INV-SYN-10121,TXN-SYN-10121,SUPP-PACIFIC-08,BUYER-OMEGA-01,FedEx International,1,57948.99,58328.36,0.0065,0.7777,429.43,290.8,0,0,19,31,0,23,1,1,NORMAL,0
INV-SYN-10122,TXN-SYN-10122,SUPP-PACIFIC-08,BUYER-APEX-06,Kuehne+Nagel Logistics,1,101302.39,101992.0,0.0068,1.3599,758.43,613.95,0,0,20,25,0,10,0,0,NORMAL,0
